what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168401455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168402462
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410168403943
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168416376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168417244
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168443107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168444609
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410168445800
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb",1410168467964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168476075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168476716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168476801
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168477998
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168478090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168479381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168479491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168480626
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168480716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168481322
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168481411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168482231
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1410168493945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168494064
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168495600
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1410168495606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168497112
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168498319
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410168499424
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168510075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168511178
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410168528914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1410168542314
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410168568725
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410168580461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168593744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410168654182
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410168762180
